model,roi,quantile,R0,Rt (week 0),Rt (week 1),Rt (week 10),Rt (week 11),Rt (week 2),Rt (week 3),Rt (week 4),Rt (week 5),Rt (week 6),Rt (week 7),Rt (week 8),Rt (week 9),Rt-by-week,car (week 0),car (week 1),car (week 10),car (week 11),car (week 2),car (week 3),car (week 4),car (week 5),car (week 6),car (week 7),car (week 8),car (week 9),car-by-week,extra_std,ifr (week 0),ifr (week 1),ifr (week 10),ifr (week 11),ifr (week 2),ifr (week 3),ifr (week 4),ifr (week 5),ifr (week 6),ifr (week 7),ifr (week 8),ifr (week 9),ifr-by-week,loo,q,waic
fulllinearmodel,Afghanistan,0.025,1.413141878295215,1.4102092729754567,1.401952483783318,,,1.3869049436992515,1.3746508624170166,1.3593732975289377,,,,,,,0.0168065767549539,0.01338364773114114,,,0.012811734100597744,0.01275579376560181,0.01287878374315121,,,,,,,1.227405808967737,0.0012745237164678044,0.0016269563359416763,,,0.0016842781250289989,0.001750224077040028,0.0018811963460589,,,,,,,406.5255280069818,0.006008258536519619,406.51424006940005
fulllinearmodel,Afghanistan,0.25,2.462407754703711,2.3583925703632422,2.2833037301536354,,,2.188281645001453,2.0837589640597973,1.9928626954547906,,,,,,,0.0431721994433592,0.044865830587552544,,,0.046616266198351554,0.048066010523700964,0.04990122708043324,,,,,,,1.4288677424663319,0.0035478300598128904,0.005660437957194463,,,0.006710032272382536,0.007388671915364755,0.007977439161936294,,,,,,,456.55579565900894,0.06484045948298302,456.5395554071357
fulllinearmodel,Afghanistan,0.5,3.5850669507342428,3.423346828487733,3.2785116164176102,,,3.0416135634068744,2.7827784027429967,2.5807627753393887,,,,,,,0.07598869718104226,0.08440590031068283,,,0.08983310458103713,0.09419964253546574,0.09760393690360622,,,,,,,1.5456686569245819,0.006404971624964761,0.01099699596660067,,,0.013672050035847098,0.015493863850636364,0.01695519173601549,,,,,,,482.80673234003876,0.15400635468127125,482.78789360338834
fulllinearmodel,Afghanistan,0.75,5.974445731946328,5.711575558679219,5.300641436432696,,,4.7077864239553975,4.071152891297255,3.566302288627474,,,,,,,0.14673456728963255,0.16921905739103427,,,0.18161792288017264,0.19147777403103616,0.20099129722656983,,,,,,,1.6704082362743935,0.012802494774336388,0.022703460364377176,,,0.028877099372587225,0.03309698540685096,0.03649662035693854,,,,,,,509.0576690210686,0.3016554861182546,509.036231799641
fulllinearmodel,Afghanistan,0.975,16.05952818286641,15.843349032071034,15.336654405128412,,,13.726570527520924,11.556698683529476,8.940998391651915,,,,,,,1.1669920367402995,1.018317331054648,,,0.9714910933202578,0.9519236891059755,0.9424446577095541,,,,,,,1.9285034311176976,0.08717549744627645,0.13397545530896493,,,0.15230090671958965,0.16107842435242287,0.165755769094367,,,,,,,559.0879366730957,0.7716176515531135,559.0615471373766
fulllinearmodel,Afghanistan,max,114.86129000819021,105.45139287349132,85.1307987622587,,,76.5374046965959,72.68857358860058,42.39312011504163,,,,,,,2.059684022752983,1.2205152212209378,,,1.0760962420168496,1.0286943477442414,1.0094374269226818,,,,,,,2.5163890892167715,0.40807173229198845,0.33868321054242606,,,0.3539513434804826,0.3602203936824924,0.3628942981543787,,,,,,,,2.699699312758668,
fulllinearmodel,Afghanistan,mean,4.962610411036462,4.791089654911578,4.549067944873602,,,4.1448897975424615,3.6529745348639584,3.1825310496117605,,,,,,,0.16366294164951517,0.16390153591147982,,,0.16689696247067684,0.17037086781149494,0.17443850936718172,,,,,,,1.554125355775318,0.013722114714798232,0.022358114187119863,,,0.02685439948723584,0.029693712912155765,0.03187090081086196,,,,,,,482.80673234003876,0.21563201421396483,482.78789360338834
fulllinearmodel,Afghanistan,min,1.0149519740105115,1.0283793877223548,0.9182150265326493,,,0.7767539831694238,0.7437307379276357,0.7541006744122517,,,,,,,0.002864919839299229,0.00045511505088938594,,,0.00016870382138779394,0.00020587678150470494,0.00028933702300016197,,,,,,,0.9566692562523972,0.0002350011153298638,0.00012266001134871217,,,2.6087317186454733e-05,3.093229025855476e-05,5.563798002014024e-05,,,,,,,,8.858572927932461e-06,
fulllinearmodel,Afghanistan,std,4.23074711107983,4.161118133933495,4.032695568954017,,,3.6959607150895812,3.08640380010879,2.3014588307301604,,,,,,,0.26384908761398956,0.22518213506677853,,,0.21594811825736562,0.21267133008643754,0.21197175292282688,,,,,,,0.1798408572704267,0.022680868671859918,0.033168680365592604,,,0.037640642281974133,0.040008303000245736,0.04154884446300511,,,,,,,38.91969696114487,0.20885654960709266,38.9158444418495
fulllinearmodel,Albania,0.025,1.8304249810564235,1.667788439699054,1.5511317624493512,,,1.4677079013045418,1.4185294290703594,1.3739226726994929,,,,,,,0.04319811147500943,0.06424147830787108,,,0.07913967155231699,0.0943810669847206,0.1059430588037593,,,,,,,0.43700661317051676,0.0012880584661279014,0.003025792898696172,,,0.004875304765673426,0.007105291084397036,0.00934094570990941,,,,,,,499.1748613106295,0.006058978378964125,499.05168754181375
