,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,4,0,0,4,0,0,0
8,01/30/20,4,0,0,0,0,0,0
9,01/31/20,4,0,0,0,0,0,0
10,02/01/20,4,0,0,0,0,0,0
11,02/02/20,5,0,0,1,0,0,0
12,02/03/20,5,0,0,0,0,0,0
13,02/04/20,5,0,0,0,0,0,0
14,02/05/20,5,0,0,0,0,0,0
15,02/06/20,5,0,0,0,0,0,0
16,02/07/20,5,0,0,0,0,0,0
17,02/08/20,7,0,0,2,0,0,0
18,02/09/20,7,0,0,0,0,0,0
19,02/10/20,8,0,0,1,0,0,0
20,02/11/20,8,0,0,0,0,0,0
21,02/12/20,8,0,1,0,0,1,1
22,02/13/20,8,0,1,0,0,0,0
23,02/14/20,8,0,1,0,0,0,0
24,02/15/20,8,0,3,0,0,2,2
25,02/16/20,9,0,4,1,0,1,1
26,02/17/20,9,0,4,0,0,0,0
27,02/18/20,9,0,4,0,0,0,0
28,02/19/20,9,0,4,0,0,0,0
29,02/20/20,9,0,4,0,0,0,0
30,02/21/20,9,0,4,0,0,0,0
31,02/22/20,13,0,4,4,0,0,0
32,02/23/20,13,0,4,0,0,0,0
33,02/24/20,13,0,4,0,0,0,0
34,02/25/20,13,0,4,0,0,0,0
35,02/26/20,13,0,4,0,0,0,0
36,02/27/20,13,0,4,0,0,0,0
37,02/28/20,19,0,5,6,0,1,1
38,02/29/20,21,0,5,2,0,0,0
39,03/01/20,21,0,5,0,0,0,0
40,03/02/20,21,0,5,0,0,0,0
41,03/03/20,27,0,5,6,0,0,0
42,03/04/20,27,0,5,0,0,0,0
43,03/05/20,29,0,5,2,0,0,0
44,03/06/20,29,0,5,0,0,0,0
45,03/07/20,45,0,7,16,0,2,2
46,03/08/20,45,0,7,0,0,0,0
47,03/09/20,45,0,7,0,0,0,0
48,03/10/20,74,0,12,29,0,5,5
49,03/11/20,74,0,17,0,0,5,5
50,03/12/20,85,0,17,11,0,0,0
51,03/13/20,85,0,17,0,0,0,0
52,03/14/20,85,0,17,0,0,0,0
53,03/15/20,98,0,23,13,0,6,6
54,03/16/20,98,0,23,0,0,0,0
55,03/17/20,98,0,23,0,0,0,0
56,03/18/20,113,0,26,15,0,3,3
57,03/19/20,140,0,31,27,0,5,5
58,03/20/20,140,2,31,0,2,0,2
59,03/21/20,153,2,38,13,0,7,7
60,03/22/20,153,2,38,0,0,0,0
61,03/23/20,198,2,38,45,0,0,0
62,03/24/20,248,2,45,50,0,7,7
63,03/25/20,333,2,52,85,0,7,7
64,03/26/20,333,2,52,0,0,0,0
65,03/27/20,405,2,52,72,0,0,0
66,03/28/20,468,2,52,63,0,0,0
67,03/29/20,570,3,58,102,1,6,7
68,03/30/20,611,5,61,41,2,3,5
69,03/31/20,664,6,61,53,1,0,1
70,04/01/20,814,8,61,150,2,0,2
71,04/02/20,1024,8,96,210,0,35,35
72,04/03/20,1264,9,108,240,1,12,13
73,04/04/20,1505,10,125,241,1,17,18
74,04/05/20,1799,10,144,294,0,19,19
75,04/06/20,2076,11,167,277,1,23,24
76,04/07/20,2359,12,186,283,1,19,20
77,04/08/20,2659,12,239,300,0,53,53
78,04/09/20,2990,14,268,331,2,29,31
79,04/10/20,3360,16,418,370,2,150,152
80,04/11/20,3736,20,588,376,4,170,174
81,04/12/20,4123,22,680,387,2,92,94
82,04/13/20,4521,25,852,398,3,172,175
83,04/14/20,4933,28,933,412,3,81,84
84,04/15/20,5365,33,1034,432,5,101,106
85,04/16/20,5825,35,1095,460,2,61,63
86,04/17/20,6302,37,1188,477,2,93,95
87,04/18/20,6302,37,1188,0,0,0,0
88,04/19/20,6781,41,1286,479,4,98,102
89,04/20/20,7265,43,1360,484,2,74,76
90,04/21/20,7755,46,1443,490,3,83,86
91,04/22/20,8238,52,1546,483,6,103,109
92,04/23/20,8756,56,1637,518,4,91,95
93,04/24/20,9281,64,1760,525,8,123,131
94,04/25/20,9813,71,1887,532,7,127,134
95,04/26/20,10349,76,1978,536,5,91,96
96,04/27/20,10839,82,2090,490,6,112,118
97,04/28/20,11380,89,2181,541,7,91,98
