,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,1,0,0,1,0,0,0
34,02/25/20,23,0,0,22,0,0,0
35,02/26/20,33,0,0,10,0,0,0
36,02/27/20,33,0,0,0,0,0,0
37,02/28/20,36,0,0,3,0,0,0
38,02/29/20,41,0,0,5,0,0,0
39,03/01/20,47,0,0,6,0,0,0
40,03/02/20,49,0,0,2,0,0,0
41,03/03/20,49,0,0,0,0,0,0
42,03/04/20,52,0,0,3,0,0,0
43,03/05/20,55,0,0,3,0,0,0
44,03/06/20,60,0,4,5,0,4,4
45,03/07/20,85,0,4,25,0,0,0
46,03/08/20,85,0,4,0,0,0,0
47,03/09/20,95,0,14,10,0,10,10
48,03/10/20,110,0,22,15,0,8,8
49,03/11/20,195,0,35,85,0,13,13
50,03/12/20,195,0,35,0,0,0,0
51,03/13/20,195,0,44,0,0,9,9
52,03/14/20,210,0,44,15,0,0,0
53,03/15/20,214,0,60,4,0,16,16
54,03/16/20,214,1,77,0,1,17,18
55,03/17/20,228,1,81,14,0,4,4
56,03/18/20,256,1,88,28,0,7,7
57,03/19/20,278,1,100,22,0,12,12
58,03/20/20,285,1,100,7,0,0,0
59,03/21/20,305,1,125,20,0,25,25
60,03/22/20,334,2,149,29,1,24,25
61,03/23/20,377,2,149,43,0,0,0
62,03/24/20,392,3,177,15,1,28,29
63,03/25/20,419,4,177,27,1,0,1
64,03/26/20,458,4,204,39,0,27,27
65,03/27/20,466,4,227,8,0,23,23
66,03/28/20,476,4,265,10,0,38,38
67,03/29/20,499,4,272,23,0,7,7
68,03/30/20,515,4,279,16,0,7,7
69,03/31/20,567,4,295,52,0,16,16
70,04/01/20,569,4,337,2,0,42,42
71,04/02/20,643,4,381,74,0,44,44
72,04/03/20,672,4,382,29,0,1,1
73,04/04/20,688,4,423,16,0,41,41
74,04/05/20,700,4,431,12,0,8,8
75,04/06/20,756,4,458,56,0,27,27
76,04/07/20,811,5,458,55,1,0,1
77,04/08/20,823,5,477,12,0,19,19
78,04/09/20,887,5,519,64,0,42,42
79,04/10/20,925,6,539,38,1,20,21
80,04/11/20,1040,6,555,115,0,16,16
81,04/12/20,1136,6,558,96,0,3,3
82,04/13/20,1361,6,591,225,0,33,33
83,04/14/20,1528,7,645,167,1,54,55
84,04/15/20,1671,7,663,143,0,18,18
85,04/16/20,1700,7,703,29,0,40,40
86,04/17/20,1740,7,725,40,0,22,22
87,04/18/20,1773,7,755,33,0,30,30
88,04/19/20,1881,7,759,108,0,4,4
89,04/20/20,1907,7,769,26,0,10,10
90,04/21/20,1973,7,784,66,0,15,15
91,04/22/20,2027,7,1026,54,0,242,242
92,04/23/20,2217,8,1082,190,1,56,57
93,04/24/20,2518,8,1113,301,0,31,31
94,04/25/20,2588,8,1160,70,0,47,47
95,04/26/20,2647,8,1189,59,0,29,29
96,04/27/20,2723,8,1218,76,0,29,29
97,04/28/20,2811,8,1310,88,0,92,92
