dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,1,0,0,1,0,0,0
02/22/20,1,0,0,0,0,0,0
02/23/20,1,0,0,0,0,0,0
02/24/20,1,0,0,0,0,0,0
02/25/20,1,0,0,0,0,0,0
02/26/20,2,0,0,1,0,0,0
02/27/20,3,0,1,1,0,1,1
02/28/20,4,0,1,1,0,0,0
02/29/20,7,0,1,3,0,0,0
03/01/20,10,0,1,3,0,0,0
03/02/20,10,0,1,0,0,0,0
03/03/20,12,0,1,2,0,0,0
03/04/20,15,0,1,3,0,0,0
03/05/20,20,0,1,5,0,0,0
03/06/20,37,0,2,17,0,1,1
03/07/20,43,0,2,6,0,0,0
03/08/20,61,0,2,18,0,0,0
03/09/20,61,0,2,0,0,0,0
03/10/20,75,0,4,14,0,2,2
03/11/20,79,0,4,4,0,0,0
03/12/20,100,0,4,21,0,0,0
03/13/20,126,0,4,26,0,0,0
03/14/20,155,0,4,29,0,0,0
03/15/20,213,0,4,58,0,0,0
03/16/20,218,0,4,5,0,0,0
03/17/20,250,0,11,32,0,7,7
03/18/20,304,0,11,54,0,0,0
03/19/20,427,0,11,123,0,0,0
03/20/20,529,0,14,102,0,3,3
03/21/20,712,1,36,183,1,22,23
03/22/20,883,1,37,171,0,1,1
03/23/20,1071,1,37,188,0,0,0
03/24/20,1238,3,53,167,2,16,18
03/25/20,2369,5,58,1131,2,5,7
03/26/20,2693,8,68,324,3,10,13
03/27/20,3035,12,79,342,4,11,15
03/28/20,3619,12,89,584,0,10,10
03/29/20,4247,15,132,628,3,43,46
03/30/20,4695,16,161,448,1,29,30
03/31/20,5358,20,224,663,4,63,67
04/01/20,6092,26,241,734,6,17,23
04/02/20,6857,36,338,765,10,97,107
04/03/20,7428,40,403,571,4,65,69
04/04/20,7851,44,427,423,4,24,28
04/05/20,8430,49,477,579,5,50,55
04/06/20,8904,57,585,474,8,108,116
04/07/20,9248,65,770,344,8,185,193
04/08/20,9404,73,801,156,8,31,39
04/09/20,9968,86,1011,564,13,210,223
04/10/20,10408,95,1183,440,9,172,181
04/11/20,10743,101,1341,335,6,158,164
04/12/20,11145,103,1627,402,2,286,288
04/13/20,11586,116,1855,441,13,228,241
04/14/20,12046,123,2195,460,7,340,347
04/15/20,12501,130,2563,455,7,368,375
04/16/20,12758,142,2818,257,12,255,267
04/17/20,12982,151,3126,224,9,308,317
04/18/20,13265,164,3456,283,13,330,343
04/19/20,13491,172,3754,226,8,298,306
04/20/20,13713,177,4049,222,5,295,300
04/21/20,13942,184,4507,229,7,458,465
04/22/20,14498,189,5215,556,5,708,713
04/23/20,14803,192,5611,305,3,396,399
04/24/20,15058,194,6003,255,2,392,394
04/25/20,15298,199,6435,240,5,432,437
04/26/20,15443,201,6731,145,2,296,298
04/27/20,15555,204,7200,112,3,469,472
