,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,0,0,0,0,0,0,0
40,03/02/20,0,0,0,0,0,0,0
41,03/03/20,0,0,0,0,0,0,0
42,03/04/20,0,0,0,0,0,0,0
43,03/05/20,0,0,0,0,0,0,0
44,03/06/20,0,0,0,0,0,0,0
45,03/07/20,0,0,0,0,0,0,0
46,03/08/20,1,0,0,1,0,0,0
47,03/09/20,1,0,0,0,0,0,0
48,03/10/20,1,0,0,0,0,0,0
49,03/11/20,5,0,0,4,0,0,0
50,03/12/20,5,0,0,0,0,0,0
51,03/13/20,6,0,0,1,0,0,0
52,03/14/20,6,0,0,0,0,0,0
53,03/15/20,6,0,0,0,0,0,0
54,03/16/20,8,0,0,2,0,0,0
55,03/17/20,9,0,0,1,0,0,0
56,03/18/20,11,0,0,2,0,0,0
57,03/19/20,11,0,0,0,0,0,0
58,03/20/20,13,0,0,2,0,0,0
59,03/21/20,18,1,0,5,1,0,1
60,03/22/20,22,1,0,4,0,0,0
61,03/23/20,22,1,0,0,0,0,0
62,03/24/20,27,2,0,5,1,0,1
63,03/25/20,37,3,0,10,1,0,1
64,03/26/20,41,3,0,4,0,0,0
65,03/27/20,52,3,1,11,0,1,1
66,03/28/20,56,3,1,4,0,0,0
67,03/29/20,59,3,1,3,0,0,0
68,03/30/20,64,3,1,5,0,0,0
69,03/31/20,65,3,1,1,0,0,0
70,04/01/20,69,3,1,4,0,0,0
71,04/02/20,77,3,2,8,0,1,1
72,04/03/20,92,3,6,15,0,4,4
73,04/04/20,96,3,12,4,0,6,6
74,04/05/20,104,3,12,8,0,0,0
75,04/06/20,113,5,12,9,2,0,2
76,04/07/20,115,5,15,2,0,3,3
77,04/08/20,119,5,15,4,0,0,0
78,04/09/20,124,5,18,5,0,3,3
79,04/10/20,129,6,18,5,1,0,1
80,04/11/20,133,6,18,4,0,0,0
81,04/12/20,134,6,22,1,0,4,4
82,04/13/20,147,6,22,13,0,0,0
83,04/14/20,159,7,22,12,1,0,1
84,04/15/20,161,8,23,2,1,1,2
85,04/16/20,174,8,30,13,0,7,7
86,04/17/20,199,8,30,25,0,0,0
87,04/18/20,202,8,35,3,0,5,5
88,04/19/20,206,8,41,4,0,6,6
89,04/20/20,208,8,46,2,0,5,5
90,04/21/20,208,8,53,0,0,7,7
91,04/22/20,213,9,62,5,1,9,10
92,04/23/20,213,9,67,0,0,5,5
93,04/24/20,223,9,78,10,0,11,11
94,04/25/20,228,9,85,5,0,7,7
95,04/26/20,228,9,85,0,0,0,0
